Título,Descripción,Categoría,Latitud,Longitud,Fecha del hecho
"Fallo en estación transformadora sorprende a habitantes de La Boca, CABA","Un grave fallo en estación transformadora se registró en La Boca, CABA. El incidente dejando un rastro de destrucción importante. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Fallo en estación transformadora,-34.676563,-58.341051,27/12/2017
Situación crítica por Colisión frontal en Villa Krause,"Un grave colisión frontal se registró en Villa Krause, San Juan. El incidente provocando cortes de energía y problemas en el suministro de agua. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Colisión frontal,-31.591376,-68.552935,26/06/2004
"Derrumbe en obra en construcción deja múltiples daños en Fernández, Santiago del Estero","Un grave derrumbe en obra en construcción se registró en Fernández, Santiago del Estero. El incidente dejando a varios sectores sin comunicación. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Derrumbe en obra en construcción,-27.965199,-63.863477,17/02/2002
"Accidente de tránsito múltiple impacta en Reconquista, Santa Fe","Grave accidente de tránsito múltiple ocurrió en las inmediaciones de Reconquista, Santa Fe. El incidente dejando a la población incomunicada por varias horas. El municipio ha activado el protocolo de emergencias para esta situación.",Accidente de tránsito múltiple,-29.095694,-59.651839,22/04/2015
"Escape de gas impacta en Morón, Buenos Aires","Grave escape de gas ocurrió en las inmediaciones de Morón, Buenos Aires. El incidente provocando cortes de energía y problemas en el suministro de agua. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Escape de gas,-34.698437,-58.60521,16/01/2012
Mar del Plata sufre las consecuencias de Detonación en fábrica,"Un grave detonación en fábrica se registró en Mar del Plata, Buenos Aires. El incidente provocando la activación de protocolos de emergencia. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Detonación en fábrica,-37.966372,-57.563869,20/06/2012
Choque de formaciones ferroviarias causa estragos en Bahía Blanca,"Un grave choque de formaciones ferroviarias se registró en Bahía Blanca, Buenos Aires. El incidente obligando a evacuar a residentes de la zona. Bomberos y personal de seguridad trabajan intensamente en la zona.",Choque de formaciones ferroviarias,-38.726635,-62.321495,20/12/2014
Fuga en planta industrial impacta en Plottier,"Autoridades confirmaron un fuga en planta industrial en Plottier, Neuquén. El incidente dejando varios heridos y daños materiales. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Fuga en planta industrial,-38.960866,-68.213175,29/06/2016
Caída de aeronave impacta en Recoleta,"Grave caída de aeronave ocurrió en las inmediaciones de Recoleta, CABA. El incidente con un saldo inicial de varias personas heridas. El municipio ha activado el protocolo de emergencias para esta situación.",Caída de aeronave,-34.574047,-58.43552,12/05/2007
"Andalgalá en alerta por Detonación en fábrica, Catamarca","Autoridades confirmaron un detonación en fábrica en Andalgalá, Catamarca. El incidente generando caos en el transporte público y privado. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Detonación en fábrica,-27.603412,-66.34638,15/05/2018
"Equipos de emergencia atienden Estallido con víctimas en Paso de los Libres, Corrientes","Un grave estallido con víctimas se registró en Paso de los Libres, Corrientes. El incidente con un saldo inicial de varias personas heridas. Bomberos y personal de seguridad trabajan intensamente en la zona.",Estallido con víctimas,-29.667466,-57.112585,28/05/2005
"Curuzú Cuatiá afectado por Accidente con maquinaria industrial, Corrientes","Un grave accidente con maquinaria industrial se registró en Curuzú Cuatiá, Corrientes. El incidente dejando varios heridos y daños materiales. Equipos de rescate continúan buscando posibles víctimas.",Accidente con maquinaria industrial,-29.769066,-58.071595,30/12/2012
"Apagón por tormenta afecta a Córdoba, Córdoba","Un grave apagón por tormenta se registró en Córdoba, Córdoba. El incidente destruyendo viviendas y dejando a familias evacuadas. Equipos de rescate continúan buscando posibles víctimas.",Apagón por tormenta,-31.4666,-64.162481,28/02/2012
"Equipos de emergencia atienden Colapso por fallas estructurales en Mendoza, Mendoza","Un grave colapso por fallas estructurales se registró en Mendoza, Mendoza. El incidente causando daños en cultivos y producción agrícola. Se han habilitado refugios temporales para las familias afectadas.",Colapso por fallas estructurales,-32.88969,-68.780409,05/01/2004
"Evacuaciones por Fuego en centro comercial en Rawson, Chubut","Grave fuego en centro comercial ocurrió en las inmediaciones de Rawson, Chubut. El incidente con un saldo inicial de varias personas heridas. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Fuego en centro comercial,-43.314344,-65.104959,28/05/2024
"Consecuencias graves tras Fallo en sistema eléctrico en Villa Ángela, Chaco","Grave fallo en sistema eléctrico ocurrió en las inmediaciones de Villa Ángela, Chaco. El incidente generando serios daños ambientales en la región. Se ha establecido un centro de operaciones para coordinar las ayudas.",Fallo en sistema eléctrico,-27.548197,-60.746848,21/10/2004
"Equipos de emergencia atienden Colapso por fallas estructurales en Merlo, San Luis","Un grave colapso por fallas estructurales se registró en Merlo, San Luis. El incidente bloqueando las principales vías de acceso. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Colapso por fallas estructurales,-32.351234,-65.0491,27/07/2013
Se reporta Fallo en planta procesadora en zona de Rosario,"Un grave fallo en planta procesadora se registró en Rosario, Santa Fe. El incidente resultando en el cierre temporal de escuelas y comercios. Equipos de rescate continúan buscando posibles víctimas.",Fallo en planta procesadora,-32.912212,-60.661773,14/02/2017
Derrumbe parcial causa estragos en Paso de los Libres,"Grave derrumbe parcial ocurrió en las inmediaciones de Paso de los Libres, Corrientes. El incidente generando caos en el transporte público y privado. La población ha sido alertada para tomar precauciones adicionales.",Derrumbe parcial,-29.667538,-57.093789,15/09/2004
"Cipolletti sufre las consecuencias de Caída de aeronave, Río Negro","Autoridades confirmaron un caída de aeronave en Cipolletti, Río Negro. El incidente afectando gravemente la infraestructura local. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Caída de aeronave,-38.952005,-67.971634,18/10/2001
Zapala afectado por Incidente en fábrica,"Autoridades confirmaron un incidente en fábrica en Zapala, Neuquén. El incidente bloqueando las principales vías de acceso. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Incidente en fábrica,-38.949024,-70.065336,10/11/2011
Emergencia por Incendio en edificio residencial en Ushuaia,"Un grave incendio en edificio residencial se registró en Ushuaia, Tierra del Fuego. El incidente provocando la activación de protocolos de emergencia. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Incendio en edificio residencial,-54.839433,-68.25646,10/01/2021
Devastador Apagón general afecta a Villa La Angostura,"Grave apagón general ocurrió en las inmediaciones de Villa La Angostura, Neuquén. El incidente dejando un rastro de destrucción importante. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Apagón general,-40.722449,-71.656284,03/11/2023
"Equipos de emergencia atienden Fuga masiva de gas natural en Tigre, Buenos Aires","Un grave fuga masiva de gas natural se registró en Tigre, Buenos Aires. El incidente afectando gravemente la infraestructura local. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Fuga masiva de gas natural,-34.403493,-58.628253,24/01/2001
Impacto de Fallo en planta procesadora en comunidad de Morón,"Grave fallo en planta procesadora ocurrió en las inmediaciones de Morón, Buenos Aires. El incidente provocando pánico entre los residentes locales. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Fallo en planta procesadora,-34.67395,-58.576119,23/02/2010
"Quitilipi sufre las consecuencias de Interrupción del suministro eléctrico, Chaco","Autoridades confirmaron un interrupción del suministro eléctrico en Quitilipi, Chaco. El incidente causando pérdidas millonarias y afectando a cientos de personas. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Interrupción del suministro eléctrico,-26.864477,-60.194403,28/09/2000
"Confirman Siniestro vial fatal de gran magnitud en Cañada de Gómez, Santa Fe","Grave siniestro vial fatal ocurrió en las inmediaciones de Cañada de Gómez, Santa Fe. El incidente provocando pánico entre los residentes locales. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Siniestro vial fatal,-32.829377,-61.396145,26/07/2007
"Serio incidente: Fuego en centro comercial en Puerto Deseado, Santa Cruz","Grave fuego en centro comercial ocurrió en las inmediaciones de Puerto Deseado, Santa Cruz. El incidente dejando un rastro de destrucción importante. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Fuego en centro comercial,-47.721486,-65.941507,08/07/2022
"Equipos de emergencia atienden Emergencia en zona industrial en Chilecito, La Rioja","Autoridades confirmaron un emergencia en zona industrial en Chilecito, La Rioja. El incidente generando preocupación entre autoridades provinciales. Se ha establecido un centro de operaciones para coordinar las ayudas.",Emergencia en zona industrial,-29.199092,-67.455214,19/11/2020
"Descarrilamiento de tren sorprende a habitantes de Puerto Madryn, Chubut","Autoridades confirmaron un descarrilamiento de tren en Puerto Madryn, Chubut. El incidente afectando gravemente la infraestructura local. Se han habilitado refugios temporales para las familias afectadas.",Descarrilamiento de tren,-42.748797,-65.071218,23/04/2016
Equipos de emergencia atienden Vuelco de vehículo de pasajeros en Mar del Plata,"Un grave vuelco de vehículo de pasajeros se registró en Mar del Plata, Buenos Aires. El incidente destruyendo viviendas y dejando a familias evacuadas. Se ha establecido un centro de operaciones para coordinar las ayudas.",Vuelco de vehículo de pasajeros,-37.998044,-57.501845,18/02/2021
"Escape de gas impacta en Mercedes, Corrientes","Autoridades confirmaron un escape de gas en Mercedes, Corrientes. El incidente dejando a varios sectores sin comunicación. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Escape de gas,-29.189301,-58.085393,24/06/2022
"La Quiaca en alerta por Accidente con maquinaria industrial, Jujuy","Un grave accidente con maquinaria industrial se registró en La Quiaca, Jujuy. El incidente causando daños en cultivos y producción agrícola. Equipos de rescate continúan buscando posibles víctimas.",Accidente con maquinaria industrial,-22.082617,-65.634608,28/09/2012
"Pirané afectado por Emanación de gas tóxico, Formosa","Grave emanación de gas tóxico ocurrió en las inmediaciones de Pirané, Formosa. El incidente provocando cortes de energía y problemas en el suministro de agua. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Emanación de gas tóxico,-25.747193,-59.097277,04/11/2010
"Serio incidente: Explosión de tanque de gas en Alta Gracia, Córdoba","Un grave explosión de tanque de gas se registró en Alta Gracia, Córdoba. El incidente bloqueando las principales vías de acceso. Equipos de rescate continúan buscando posibles víctimas.",Explosión de tanque de gas,-31.690834,-64.424476,26/06/2014
Vuelco de vehículo de pasajeros provoca emergencia en Chos Malal,"Autoridades confirmaron un vuelco de vehículo de pasajeros en Chos Malal, Neuquén. El incidente provocando cortes de energía y problemas en el suministro de agua. Equipos de rescate continúan buscando posibles víctimas.",Vuelco de vehículo de pasajeros,-37.422193,-70.230175,09/10/2008
Incendio en fábrica afecta a Belgrano,"Autoridades confirmaron un incendio en fábrica en Belgrano, CABA. El incidente generando serios daños ambientales en la región. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Incendio en fábrica,-34.578181,-58.474562,04/02/2003
"Equipos de emergencia atienden Gas con riesgo de explosión en Azul, Buenos Aires","Autoridades confirmaron un gas con riesgo de explosión en Azul, Buenos Aires. El incidente con un saldo inicial de varias personas heridas. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Gas con riesgo de explosión,-36.79235,-59.871414,13/08/2013
Confirman Fuga en gasoducto de gran magnitud en Junín,"Autoridades confirmaron un fuga en gasoducto en Junín, Buenos Aires. El incidente afectando el normal desarrollo de actividades en la zona. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Fuga en gasoducto,-34.576641,-60.910025,22/03/2016
Alerta por Derrumbe parcial en Puerto Madryn,"Grave derrumbe parcial ocurrió en las inmediaciones de Puerto Madryn, Chubut. El incidente con un saldo inicial de varias personas heridas. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Derrumbe parcial,-42.784939,-65.0234,05/09/2009
Incidente en fábrica sorprende a habitantes de Puerto Deseado,"Autoridades confirmaron un incidente en fábrica en Puerto Deseado, Santa Cruz. El incidente causando daños en cultivos y producción agrícola. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Incidente en fábrica,-47.726635,-65.896215,19/12/2000
Emergencia en aeropuerto afecta a Chivilcoy,"Autoridades confirmaron un emergencia en aeropuerto en Chivilcoy, Buenos Aires. El incidente bloqueando las principales vías de acceso. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Emergencia en aeropuerto,-34.878172,-60.056282,07/05/2004
"Villaguay afectado por Apagón por tormenta, Entre Ríos","Autoridades confirmaron un apagón por tormenta en Villaguay, Entre Ríos. El incidente resultando en el cierre temporal de escuelas y comercios. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Apagón por tormenta,-31.862383,-59.03962,28/03/2005
"Las Lomitas afectado por Accidente con transporte público, Formosa","Un grave accidente con transporte público se registró en Las Lomitas, Formosa. El incidente causando daños en cultivos y producción agrícola. Defensa Civil coordina las tareas de asistencia y reconstrucción.",Accidente con transporte público,-24.701102,-60.625631,01/05/2002
"Incidente en fábrica deja múltiples daños en Santa Rosa, La Pampa","Autoridades confirmaron un incidente en fábrica en Santa Rosa, La Pampa. El incidente con un saldo inicial de varias personas heridas. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Incidente en fábrica,-36.581651,-64.250773,02/09/2010
Emergencia por Deflagración en planta industrial en Viedma,"Autoridades confirmaron un deflagración en planta industrial en Viedma, Río Negro. El incidente dejando a varios sectores sin comunicación. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Deflagración en planta industrial,-40.775776,-63.003008,09/06/2023
"Serio incidente: Derrumbe de edificio en Andalgalá, Catamarca","Grave derrumbe de edificio ocurrió en las inmediaciones de Andalgalá, Catamarca. El incidente causando daños en cultivos y producción agrícola. Equipos de rescate continúan buscando posibles víctimas.",Derrumbe de edificio,-27.600716,-66.276846,28/07/2012
"Habitantes de Las Heras afrontan Derrumbe con personas atrapadas, Santa Cruz","Autoridades confirmaron un derrumbe con personas atrapadas en Las Heras, Santa Cruz. El incidente afectando el normal desarrollo de actividades en la zona. Bomberos y personal de seguridad trabajan intensamente en la zona.",Derrumbe con personas atrapadas,-46.531813,-68.983783,20/11/2020
Emanación de gas tóxico afecta a Belén,"Grave emanación de gas tóxico ocurrió en las inmediaciones de Belén, Catamarca. El incidente causando daños en cultivos y producción agrícola. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Emanación de gas tóxico,-27.664627,-66.992792,18/09/2008
Se reporta Colisión de tren de carga en zona de Chivilcoy,"Grave colisión de tren de carga ocurrió en las inmediaciones de Chivilcoy, Buenos Aires. El incidente con un saldo inicial de varias personas heridas. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Colisión de tren de carga,-34.911798,-60.064495,04/03/2010
"Equipos de emergencia atienden Explosión en zona residencial en Rivadavia, San Juan","Autoridades confirmaron un explosión en zona residencial en Rivadavia, San Juan. El incidente afectando gravemente la infraestructura local. Se han habilitado refugios temporales para las familias afectadas.",Explosión en zona residencial,-31.585067,-68.565236,16/02/2002
Habitantes de Clorinda afrontan Colapso por fallas estructurales,"Un grave colapso por fallas estructurales se registró en Clorinda, Formosa. El incidente dejando varios heridos y daños materiales. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Colapso por fallas estructurales,-25.295366,-57.713388,28/02/2016
Accidente de helicóptero provoca emergencia en Santo Tomé,"Un grave accidente de helicóptero se registró en Santo Tomé, Corrientes. El incidente provocando la activación de protocolos de emergencia. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Accidente de helicóptero,-28.574177,-56.058458,03/01/2022
Estallido de gasoducto genera crisis en Villa Ángela,"Un grave estallido de gasoducto se registró en Villa Ángela, Chaco. El incidente causando pérdidas millonarias y afectando a cientos de personas. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Estallido de gasoducto,-27.548474,-60.727805,30/06/2015
"Evacuaciones por Escape de gas en San Francisco, Córdoba","Un grave escape de gas se registró en San Francisco, Córdoba. El incidente dejando varios heridos y daños materiales. Se ha establecido un centro de operaciones para coordinar las ayudas.",Escape de gas,-31.401943,-62.035235,05/04/2003
Preocupación por Colapso por fallas estructurales en Rosario,"Autoridades confirmaron un colapso por fallas estructurales en Rosario, Santa Fe. El incidente dejando a la población incomunicada por varias horas. Equipos de rescate continúan buscando posibles víctimas.",Colapso por fallas estructurales,-32.955665,-60.699481,25/04/2016
"Incendio con víctimas provoca emergencia en Quitilipi, Chaco","Autoridades confirmaron un incendio con víctimas en Quitilipi, Chaco. El incidente bloqueando las principales vías de acceso. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Incendio con víctimas,-26.892823,-60.222465,08/03/2020
Consecuencias graves tras Colapso en red de distribución en Godoy Cruz,"Un grave colapso en red de distribución se registró en Godoy Cruz, Mendoza. El incidente afectando gravemente la infraestructura local. Equipos de rescate continúan buscando posibles víctimas.",Colapso en red de distribución,-32.901908,-68.818194,19/01/2003
"Preocupación por Gas con riesgo de explosión en Esquel, Chubut","Autoridades confirmaron un gas con riesgo de explosión en Esquel, Chubut. El incidente resultando en el cierre temporal de escuelas y comercios. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Gas con riesgo de explosión,-42.90839,-71.310722,23/12/2000
Confirman Escape de gas de gran magnitud en Chivilcoy,"Autoridades confirmaron un escape de gas en Chivilcoy, Buenos Aires. El incidente destruyendo viviendas y dejando a familias evacuadas. La población ha sido alertada para tomar precauciones adicionales.",Escape de gas,-34.923192,-60.034093,18/10/2008
Alerta por Escape de gas en Concordia,"Autoridades confirmaron un escape de gas en Concordia, Entre Ríos. El incidente afectando el normal desarrollo de actividades en la zona. La población ha sido alertada para tomar precauciones adicionales.",Escape de gas,-31.361151,-58.012195,03/06/2003
"Situación crítica por Fuego en centro comercial en San Pedro de Jujuy, Jujuy","Grave fuego en centro comercial ocurrió en las inmediaciones de San Pedro de Jujuy, Jujuy. El incidente dejando un rastro de destrucción importante. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Fuego en centro comercial,-24.205584,-64.840091,18/10/2014
"Evacuaciones por Estallido de gasoducto en Quitilipi, Chaco","Un grave estallido de gasoducto se registró en Quitilipi, Chaco. El incidente dejando a la población incomunicada por varias horas. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Estallido de gasoducto,-26.874594,-60.181705,22/09/2017
Serio incidente: Fuga masiva de gas natural en Gualeguay,"Grave fuga masiva de gas natural ocurrió en las inmediaciones de Gualeguay, Entre Ríos. El incidente obligando a evacuar a residentes de la zona. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Fuga masiva de gas natural,-33.172271,-59.343495,15/01/2019
Siniestro vial fatal deja múltiples daños en Necochea,"Un grave siniestro vial fatal se registró en Necochea, Buenos Aires. El incidente causando daños en cultivos y producción agrícola. Defensa Civil coordina las tareas de asistencia y reconstrucción.",Siniestro vial fatal,-38.599587,-58.712817,17/01/2019
Fallo en vuelo deja múltiples daños en Quilmes,"Un grave fallo en vuelo se registró en Quilmes, Buenos Aires. El incidente destruyendo viviendas y dejando a familias evacuadas. Se ha establecido un centro de operaciones para coordinar las ayudas.",Fallo en vuelo,-34.698397,-58.227327,25/07/2009
"Equipos de emergencia atienden Interrupción del suministro eléctrico en Jardín América, Misiones","Autoridades confirmaron un interrupción del suministro eléctrico en Jardín América, Misiones. El incidente destruyendo viviendas y dejando a familias evacuadas. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Interrupción del suministro eléctrico,-27.057847,-55.247009,19/02/2003
"Serio incidente: Fuga masiva de gas natural en Reconquista, Santa Fe","Grave fuga masiva de gas natural ocurrió en las inmediaciones de Reconquista, Santa Fe. El incidente dejando un rastro de destrucción importante. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Fuga masiva de gas natural,-29.141887,-59.685086,27/07/2024
"Equipos de emergencia atienden Fallo en vuelo en Río Gallegos, Santa Cruz","Un grave fallo en vuelo se registró en Río Gallegos, Santa Cruz. El incidente resultando en el cierre temporal de escuelas y comercios. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Fallo en vuelo,-51.613681,-69.265377,27/05/2015
"Fuego en centro comercial afecta a Metán, Salta","Grave fuego en centro comercial ocurrió en las inmediaciones de Metán, Salta. El incidente provocando cortes de energía y problemas en el suministro de agua. Se ha establecido un centro de operaciones para coordinar las ayudas.",Fuego en centro comercial,-25.473243,-64.948502,10/08/2017
Situación crítica por Incidente aéreo en Goya,"Un grave incidente aéreo se registró en Goya, Corrientes. El incidente afectando gravemente la infraestructura local. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Incidente aéreo,-29.177334,-59.23243,18/12/2002
Emergencia por Incendio en viviendas en Cipolletti,"Grave incendio en viviendas ocurrió en las inmediaciones de Cipolletti, Río Negro. El incidente afectando gravemente la infraestructura local. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Incendio en viviendas,-38.982202,-67.962744,27/08/2023
Impacto de Accidente en refinería en comunidad de Río Grande,"Grave accidente en refinería ocurrió en las inmediaciones de Río Grande, Tierra del Fuego. El incidente causando daños en cultivos y producción agrícola. Se han habilitado refugios temporales para las familias afectadas.",Accidente en refinería,-53.740404,-67.708169,23/11/2019
Situación crítica por Interrupción del suministro eléctrico en Quitilipi,"Autoridades confirmaron un interrupción del suministro eléctrico en Quitilipi, Chaco. El incidente dejando a varios sectores sin comunicación. El municipio ha activado el protocolo de emergencias para esta situación.",Interrupción del suministro eléctrico,-26.856014,-60.192901,27/11/2016
Consecuencias graves tras Derrumbe en obra en construcción en Belgrano,"Un grave derrumbe en obra en construcción se registró en Belgrano, CABA. El incidente generando caos en el transporte público y privado. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.",Derrumbe en obra en construcción,-34.54316,-58.41442,22/06/2014
"Corte masivo de electricidad impacta en Olavarría, Buenos Aires","Autoridades confirmaron un corte masivo de electricidad en Olavarría, Buenos Aires. El incidente causando pérdidas millonarias y afectando a cientos de personas. Equipos de rescate continúan buscando posibles víctimas.",Corte masivo de electricidad,-36.857942,-60.353266,23/11/2013
"Colisión grave en ruta genera crisis en San Luis, San Luis","Grave colisión grave en ruta ocurrió en las inmediaciones de San Luis, San Luis. El incidente bloqueando las principales vías de acceso. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Colisión grave en ruta,-33.280859,-66.332381,20/12/2024
Emergencia por Derrumbe de edificio en San Rafael,"Grave derrumbe de edificio ocurrió en las inmediaciones de San Rafael, Mendoza. El incidente con un saldo inicial de varias personas heridas. Defensa Civil coordina las tareas de asistencia y reconstrucción.",Derrumbe de edificio,-34.620916,-68.328352,16/04/2019
Confirman Corte prolongado de energía de gran magnitud en Bella Vista,"Autoridades confirmaron un corte prolongado de energía en Bella Vista, Corrientes. El incidente generando caos en el transporte público y privado. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Corte prolongado de energía,-28.487589,-58.994243,12/09/2000
"Accidente con transporte público deja múltiples daños en San Nicolás, Buenos Aires","Autoridades confirmaron un accidente con transporte público en San Nicolás, Buenos Aires. El incidente dejando a la población incomunicada por varias horas. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Accidente con transporte público,-33.288804,-60.25388,26/03/2019
Fuego en centro comercial deja múltiples daños en La Falda,"Un grave fuego en centro comercial se registró en La Falda, Córdoba. El incidente dejando un rastro de destrucción importante. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Fuego en centro comercial,-31.101475,-64.470882,22/10/2007
Autoridades responden a Derrumbe con personas atrapadas en Corrientes,"Grave derrumbe con personas atrapadas ocurrió en las inmediaciones de Corrientes, Corrientes. El incidente obligando a evacuar a residentes de la zona. La población ha sido alertada para tomar precauciones adicionales.",Derrumbe con personas atrapadas,-27.49979,-58.819184,25/11/2019
Preocupación por Colisión grave en ruta en Quilmes,"Grave colisión grave en ruta ocurrió en las inmediaciones de Quilmes, Buenos Aires. El incidente afectando el normal desarrollo de actividades en la zona. Defensa Civil coordina las tareas de asistencia y reconstrucción.",Colisión grave en ruta,-34.698375,-58.24391,21/03/2016
"La Banda en alerta por Colapso de puente, Santiago del Estero","Autoridades confirmaron un colapso de puente en La Banda, Santiago del Estero. El incidente causando pérdidas millonarias y afectando a cientos de personas. El municipio ha activado el protocolo de emergencias para esta situación.",Colapso de puente,-27.701882,-64.225607,12/09/2010
Consecuencias graves tras Detonación en fábrica en Concepción del Uruguay,"Autoridades confirmaron un detonación en fábrica en Concepción del Uruguay, Entre Ríos. El incidente provocando pánico entre los residentes locales. Defensa Civil coordina las tareas de asistencia y reconstrucción.",Detonación en fábrica,-32.467463,-58.22672,19/10/2019
"Confirman Derrumbe parcial de gran magnitud en San Martín de los Andes, Neuquén","Autoridades confirmaron un derrumbe parcial en San Martín de los Andes, Neuquén. El incidente causando daños en cultivos y producción agrícola. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Derrumbe parcial,-40.20011,-71.345088,06/01/2013
Fallo en estación transformadora sorprende a habitantes de Perico,"Un grave fallo en estación transformadora se registró en Perico, Jujuy. El incidente afectando el normal desarrollo de actividades en la zona. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Fallo en estación transformadora,-24.429262,-65.130592,28/05/2000
Siniestro vial fatal impacta en Bell Ville,"Un grave siniestro vial fatal se registró en Bell Ville, Córdoba. El incidente con un saldo inicial de varias personas heridas. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.",Siniestro vial fatal,-32.635094,-62.720769,11/04/2004
"Serio incidente: Accidente vehicular en Belgrano, CABA","Autoridades confirmaron un accidente vehicular en Belgrano, CABA. El incidente obligando a evacuar a residentes de la zona. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Accidente vehicular,-34.557519,-58.451417,03/01/2015
"Declaran emergencia tras Accidente en paso a nivel en Balcarce, Buenos Aires","Grave accidente en paso a nivel ocurrió en las inmediaciones de Balcarce, Buenos Aires. El incidente generando preocupación entre autoridades provinciales. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Accidente en paso a nivel,-37.867452,-58.279569,10/09/2016
San Luis afectado por Accidente en refinería,"Autoridades confirmaron un accidente en refinería en San Luis, San Luis. El incidente afectando el normal desarrollo de actividades en la zona. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.",Accidente en refinería,-33.335693,-66.364775,29/04/2011
Declaran emergencia tras Colisión grave en ruta en Esperanza,"Grave colisión grave en ruta ocurrió en las inmediaciones de Esperanza, Santa Fe. El incidente interrumpiendo servicios básicos en toda la zona. El municipio ha activado el protocolo de emergencias para esta situación.",Colisión grave en ruta,-31.478083,-60.976856,21/06/2015
Derrumbe con personas atrapadas deja múltiples daños en Villa Ángela,"Grave derrumbe con personas atrapadas ocurrió en las inmediaciones de Villa Ángela, Chaco. El incidente dejando a varios sectores sin comunicación. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Derrumbe con personas atrapadas,-27.574582,-60.69872,03/12/2011
"Confirman Corte masivo de electricidad de gran magnitud en Tafí Viejo, Tucumán","Un grave corte masivo de electricidad se registró en Tafí Viejo, Tucumán. El incidente interrumpiendo servicios básicos en toda la zona. Defensa Civil coordina las tareas de asistencia y reconstrucción.",Corte masivo de electricidad,-26.743294,-65.291198,12/12/2022
Devastador Fuego en local comercial afecta a Rafaela,"Autoridades confirmaron un fuego en local comercial en Rafaela, Santa Fe. El incidente dejando varios heridos y daños materiales. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Fuego en local comercial,-31.24447,-61.457891,19/06/2024
"Santa Fe sufre las consecuencias de Accidente de avión, Santa Fe","Autoridades confirmaron un accidente de avión en Santa Fe, Santa Fe. El incidente afectando el normal desarrollo de actividades en la zona. Bomberos y personal de seguridad trabajan intensamente en la zona.",Accidente de avión,-31.638038,-60.685421,04/07/2016
Se reporta Accidente con maquinaria industrial en zona de Aguilares,"Un grave accidente con maquinaria industrial se registró en Aguilares, Tucumán. El incidente con un saldo inicial de varias personas heridas. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Accidente con maquinaria industrial,-27.470371,-65.632669,30/10/2016
